"Sprint","Task Name","Description","Status","Priority","Time Estimate (h)","Day","Tags","Depends On"
"Semana 1 - Base, datos, login y cruce","Inicializar proyecto Next.js","Crear el proyecto Next.js con TypeScript y Tailwind; estructura de carpetas (app, db, lib, services, components).","to do","High","3","Dia 1","setup,frontend",""
"Semana 1 - Base, datos, login y cruce","Esquema de datos con Drizzle + migracion inicial","Definir tablas en PostgreSQL con Drizzle ORM: control_nc, contratistas, correos, bitacora. Generar y correr la primera migracion.","to do","Urgent","4","Dia 1","setup,backend,drizzle",""
"Semana 1 - Base, datos, login y cruce","Iniciar tramite de permisos Microsoft Graph con TI","Solicitar a TI el registro de app en Azure AD y permisos Mail.Read (puede tardar dias; arrancar ya).","to do","Urgent","1","Dia 1","externo,bloqueante",""
"Semana 1 - Base, datos, login y cruce","Conseguir Excel consolidado + correos historicos","Insumo para el spike del cruce: el Excel real de NCs y 2-3 correos de notificacion historicos.","to do","Urgent","1","Dia 2","insumo,externo",""
"Semana 1 - Base, datos, login y cruce","Spike del motor de cruce (llave unica)","Probar la cadena de llaves (archivo soporte > orden interventoria > orden trabajo > medidor) que amarra archivo plano, informe y correo. Medir % de aciertos.","to do","Urgent","6","Dia 2","riesgo,cruce","Conseguir Excel consolidado + correos historicos"
"Semana 1 - Base, datos, login y cruce","Configurar Better Auth (login + sesion)","Instalar y configurar Better Auth: inicio de sesion y manejo de sesiones, conectado a PostgreSQL.","to do","High","4","Dia 3","auth","Esquema de datos con Drizzle + migracion inicial"
"Semana 1 - Base, datos, login y cruce","Usuarios, roles y proteccion de rutas","Roles supervisor / administrador. Proteger las pantallas del tablero segun rol.","to do","High","3","Dia 3","auth","Configurar Better Auth (login + sesion)"
"Semana 1 - Base, datos, login y cruce","Obtener credenciales SQL Server (Formap)","Insumo: usuario de solo lectura y cadena de conexion a la base de Formap (SQL Server).","to do","Urgent","1","Dia 4","insumo,externo",""
"Semana 1 - Base, datos, login y cruce","Conector SQL Server + consulta de NCs","Conexion de solo lectura a Formap (driver mssql) y consulta que extrae los registros con calificacion = NC.","to do","High","4","Dia 4","backend,sqlserver","Obtener credenciales SQL Server (Formap)"
"Semana 1 - Base, datos, login y cruce","Capa de calidad / validacion de datos","Normalizar campos clave y detectar/marcar registros incompletos o corruptos antes de procesarlos.","to do","Normal","4","Dia 5","backend,calidad","Conector SQL Server + consulta de NCs"
"Semana 1 - Base, datos, login y cruce","Sincronizacion inicial a la base local","Cargar las NCs de Formap a la base local de control y registrar la corrida en la bitacora.","to do","High","4","Dia 5","backend,sync","Conector SQL Server + consulta de NCs"
"Semana 2 - Tiempos, correo y bot","Motor de tiempos (SLA)","Dias habiles con festivos de Colombia; 8 dias habiles para notificar y 5 para validar; semaforos verde/amarillo/rojo.","to do","High","4","Dia 6","backend,sla",""
"Semana 2 - Tiempos, correo y bot","Servicios: estadisticas, alertas y detalle","Consultas con Drizzle para las tarjetas del semaforo, la lista de alertas y el detalle de cada NC.","to do","High","5","Dia 7","backend","Sincronizacion inicial a la base local"
"Semana 2 - Tiempos, correo y bot","Conexion a Outlook (Microsoft Graph)","Autenticar con Graph y buscar los correos enviados y sus adjuntos para verificar la notificacion.","to do","High","6","Dia 8","correo,graph","Iniciar tramite de permisos Microsoft Graph con TI"
"Semana 2 - Tiempos, correo y bot","Estrategia de buzon bot en copia (CC)","Definir el buzon bot que va en copia de toda notificacion para no depender del destinatario que rota.","to do","Normal","2","Dia 8","correo,graph","Conexion a Outlook (Microsoft Graph)"
"Semana 2 - Tiempos, correo y bot","Casos especiales de verificacion","Cargue a SharePoint de Celsia (correo sin adjuntos) y caso 'dicen 7 NCs pero hay 6 archivos'.","to do","Normal","5","Dia 9","correo,graph","Conexion a Outlook (Microsoft Graph)"
"Semana 2 - Tiempos, correo y bot","Cruzar adjunto con NC","Aplicar la llave del spike para confirmar que el informe enviado corresponde a la NC.","to do","High","4","Dia 9","cruce","Spike del motor de cruce (llave unica)"
